Neptune X	Neptune Y
1.809946065187984E12	4.0810061864716E12
1.791944700375407E12	4.089083370836091E12
1.7739086968408982E12	4.0970815092293657E12
1.7558384060861543E12	4.1050004537468345E12
1.7377341802638745E12	4.112840058094798E12
1.7195963721689194E12	4.1206001775886436E12
1.701425335230833E12	4.128280669153804E12
1.6832214235072256E12	4.1358813913245503E12
1.6649849916758608E12	4.143402204241891E12
1.646716395026593E12	4.150842969651191E12
1.6284159894520593E12	4.158203550899514E12
1.6100841314391733E12	4.165483812935061E12
1.591721178061706E12	4.1726836223044624E12
1.5733274869702866E12	4.179802847148286E12
1.5549034163822783E12	4.186841357198827E12
1.5364493250722068E12	4.1937990237775894E12
1.5179655723618296E12	4.20067571979293E12
1.499452518110701E12	4.207471319736863E12
1.480910522704427E12	4.214185699680128E12
1.4623399470424175E12	4.220818737270715E12
1.4437411525275625E12	4.2273703117325293E12
1.4251145010543828E12	4.23384030386203E12
1.4064603549963828E12	4.2402285960264404E12
1.387779077193109E12	4.2465350721620244E12
1.3690710309363577E12	4.252759617774445E12
1.3503365799582158E12	4.2589021199405684E12
1.3315760884179163E12	4.264962467307601E12
1.3127899208865183E12	4.2709405500950103E12
1.2939784423333765E12	4.2768362600994375E12
1.2751420181125203E12	4.2826494906993374E12
1.256281013949158E12	4.2883801368615605E12
1.2373957959264514E12	4.2940280951479624E12
1.218486730470957E12	4.29959326372411E12
1.1995541843404646E12	4.305075542372407E12
1.180598524613541E12	4.310474832503748E12
1.1616201186779307E12	4.3157910371698555E12
1.142619334220499E12	4.321024061078574E12
1.123596539218483E12	4.3261738106098735E12
1.1045521019326663E12	4.331240193833908E12
1.0854863909031812E12	4.336223120527776E12
1.0663997749446848E12	4.3411225021909414E12
1.0472926231435327E12	4.3459382520635312E12
1.0281653048581813E12	4.3506702851431763E12
1.0090181897204142E12	4.3553185181993765E12
9.898516476379111E11	4.359882869786123E12
9.706660487969569E11	4.3643632602518022E12
9.51461763665969E11	4.3687596117492773E12
9.322391630015764E11	4.373071848242751E12
9.129986178534469E11	4.37729989550907E12
8.937404995679055E11	4.3814436811380234E12
8.744651797918892E11	4.3855031345302373E12
8.551730304756677E11	4.3894781868925864E12
8.358644238755106E11	4.393368771231142E12
8.165397325538386E11	4.397174822339594E12
7.971993293762747E11	4.400896276788294E12
7.778435875092554E11	4.404533072913771E12
7.584728804159395E11	4.408085150804724E12
7.39087581849621E11	4.411552452288117E12
7.196880658458975E11	4.414934920914949E12
7.002747067124614E11	4.41823250194689E12
6.808478790192893E11	4.421445142345526E12
6.614079575884811E11	4.424572790758992E12
6.419553174807701E11	4.427615397509426E12
6.224903339823372E11	4.430572914584422E12
6.030133825919622E11	4.433445295628446E12
5.835248390076367E11	4.436232495935654E12
5.640250791137505E11	4.438934472442903E12
5.4451447896645056E11	4.441551183722892E12
5.2499341477952216E11	4.444082589981964E12
5.054622629124939E11	4.446528653057422E12
4.8592139985746173E11	4.448889336413672E12
4.6637120222584863E11	4.451164605140909E12
4.468120467357336E11	4.45335442595438E12
4.2724431019949036E11	4.455458767195581E12
4.076683695133662E11	4.457477598833393E12
3.880846016460597E11	4.459410892463065E12
3.6849338362650073E11	4.461258621308308E12
3.488950925337493E11	4.463020760224397E12
3.292901054870219E11	4.464697285700127E12
3.0967879963601544E11	4.466288175860065E12
2.900615521509603E11	4.467793410466071E12
2.7043874021200964E11	4.469212970920726E12
2.508107410009949E11	4.470546840272247E12
2.3117793169335776E11	4.471795003216053E12
2.1154068944872037E11	4.472957446097171E12
1.9189939140227902E11	4.474034156913702E12
1.7225441465618607E11	4.475025125320149E12
1.526061362720339E11	4.475930342631695E12
1.3295493326376074E11	4.476749801825564E12
1.1330118258841905E11	4.477483497543069E12
9.364526113842883E10	4.478131426094653E12
7.39875457350518E10	4.478693585462458E12
5.432841312097436E10	4.479169975302579E12
3.4668239953378105E10	4.479560596947136E12
1.500740279599926E10	4.4798654534059795E12
-4.653721888159113E9	4.480084549370955E12
-2.431475774213229E10	4.48021789121777E12
-4.397532852227386E10	4.480265487005992E12
-6.3635058105773964E10	4.480227346481673E12
-8.329357049682599E10	4.480103481079503E12
-1.0295048983306622E11	4.479893903924498E12
-1.2260544039097166E11	4.479598629833067E12
-1.4225804659238544E11	4.479217675311987E12
-1.6190793301202188E11	4.478751058560061E12
-1.8155472438253683E11	4.478198799470021E12
-2.011980455999671E11	4.477560919627302E12
-2.2083752173004297E11	4.476837442309576E12
-2.404727780141218E11	4.47602839248614E12
-2.601034398755494E11	4.475133796817861E12
-2.7972913292434045E11	4.474153683657372E12
-2.9934948296193726E11	4.473088083045731E12
-3.189641159878967E11	4.471937026710046E12
-3.385726582054021E11	4.47070054806272E12
-3.5817473602622E11	4.469378682198896E12
-3.7776997607573193E11	4.467971465893766E12
-3.973580051978247E11	4.466478937598016E12
-4.1693845046135504E11	4.464901137434015E12
-4.365109391652628E11	4.463238107193834E12
-4.560750988424771E11	4.461489890334006E12
-4.7563055726558057E11	4.459656531969471E12
-4.9517694245235504E11	4.457738078868444E12
-5.147138826715552E11	4.455734579446748E12
-5.3424100644829913E11	4.453646083763087E12
-5.537579425682994E11	4.451472643511981E12
-5.732643200843285E11	4.449214312015054E12
-5.927597683230415E11	4.446871144215661E12
-6.122439168901041E11	4.444443196672008E12
-6.317163956763917E11	4.441930527548884E12
-6.511768348642302E11	4.439333196609617E12
-6.706248649347605E11	4.43665126520677E12
-6.900601166763856E11	4.433884796275502E12
-7.094822211911914E11	4.431033854326641E12
-7.288908099026995E11	4.428098505436516E12
-7.48285514565595E11	4.42507881723938E12
-7.676659672748038E11	4.421974858920358E12
-7.87031800475407E11	4.41878670120852E12
-8.063826469723463E11	4.415514416370664E12
-8.257181399409058E11	4.412158078203226E12
-8.450379129399015E11	4.408717762026948E12
-8.643415999237732E11	4.40519354468428E12
-8.836288352544271E11	4.401585504535117E12
-9.028992537148818E11	4.3978937214538525E12
-9.221524905231344E11	4.394118276827911E12
-9.413881813471969E11	4.390259253558006E12
-9.606059623193688E11	4.386316736061415E12
-9.798054700495275E11	4.382290810273827E12
-9.98986341640584E11	4.378181563652405E12
-1.0181482147035659E12	4.373989085183065E12
-1.0372907273712847E12	4.36971346538819E12
-1.0564135183114177E12	4.3653547963357104E12
-1.0755162267381506E12	4.36091317164811E12
-1.0945984924243228E12	4.3563886865119004E12
-1.1136599557122886E12	4.351781437690818E12
-1.1327002575212036E12	4.3470915235376255E12
-1.1517190393539329E12	4.3423190440041763E12
-1.1707159433027356E12	4.337464100652449E12
-1.1896906120532354E12	4.3325267966644795E12
-1.2086426888869812E12	4.3275072368525635E12
-1.2275718176805676E12	4.3224055276669536E12
-1.2464776429045745E12	4.317221777199025E12
-1.2653598096228623E12	4.3119560951854297E12
-1.2842179634891228E12	4.3066085930101997E12
-1.303051750743E12	4.3011793837028696E12
-1.3218608182059922E12	4.295668581934823E12
-1.3406448132774497E12	4.290076304011939E12
-1.3594033839325469E12	4.284402667867173E12
-1.3781361787186846E12	4.278647793052537E12
-1.39684284675205E12	4.2728118007258745E12
-1.4155230377172263E12	4.2668948136372837E12
-1.434176401867184E12	4.260896956115851E12
-1.452802590024521E12	4.254818354055204E12
-1.4714012535833516E12	4.2486591348995347E12
-1.489972044511547E12	4.242419427627289E12
-1.5085146153563809E12	4.23609936273533E12
-1.5270286192508179E12	4.229699072226619E12
-1.5455137099189136E12	4.2232186895964644E12
-1.5639695416830688E12	4.2166583498188237E12
-1.5823957694720127E12	4.2100181893337607E12
-1.6007920488301208E12	4.203298346035742E12
-1.6191580359271992E12	4.196498959265029E12
-1.6374933875666758E12	4.189620169798159E12
-1.6557977611955957E12	4.182662119837805E12
-1.6740708149157397E12	4.1756249530060967E12
-1.6923122074937422E12	4.168508814338605E12
